date,quarter,stocks,stocks_count
2012-12-31,2012-Q4,"TGKA,TGKB,TGKN,TGKBP,MRKU,MRKP,UPRO,MSNG,OGKB,ROSN,MRKV,MRKY,MSRS,MRKC,MRKS,ELFV,MRKZ,GAZP,UNAC,LKOH,TTLK,GMKN,VTBR,MAGN,IRAO,RASP,DVEC,TRNFP,SBER,RBCM,SNGS,RTKMP,CHMF,FEES,SIBN,NVTK,HYDR,SNGSP,RTKM,FESH",40
2013-03-31,2013-Q1,"TGKN,TGKA,TGKB,UPRO,OGKB,MRKP,TGKBP,MRKU,MSNG,ROSN,MRKV,ELFV,MRKY,MSRS,MRKC,GAZP,MRKZ,TTLK,NMTP,VTBR,LKOH,RBCM,GMKN,SELG,MRKS,UNAC,IRAO,MAGN,RASP,SBER,RTKMP,DVEC,NKNCP,TRNFP,SNGS,SNGSP,SIBN,CHMF,HYDR,MTSS",40
2013-06-30,2013-Q2,"TGKA,TGKN,TGKB,UPRO,OGKB,TGKBP,MRKP,MSNG,ROSN,MRKU,MRKV,ELFV,GAZP,MRKC,MRKS,MSRS,MRKY,MRKZ,VTBR,LKOH,IRAO,GMKN,TTLK,SNGS,MAGN,SBER,FEES,SNGSP,TRNFP,RTKMP,RASP,MGNT,HYDR,CHMF,RTKM,SIBN,NVTK,NMTP,RBCM,UNAC",40
2013-09-30,2013-Q3,"TGKA,TGKB,TGKN,OGKB,UPRO,MRKP,MSNG,ROSN,TGKBP,MRKV,MRKU,ELFV,GAZP,MRKZ,MRKY,MRKC,TTLK,MSRS,LKOH,VTBR,GMKN,ROLO,MRKS,SBER,NMTP,IRAO,RASP,MGNT,SNGS,MAGN,SIBN,RTKM,CHMF,HYDR,MTSS,NKNCP,TRNFP,FESH,FEES,SNGSP",40
2013-12-31,2013-Q4,"TGKA,TGKB,MSRS,TGKN,UPRO,TGKBP,OGKB,MSNG,ROSN,MRKP,MRKV,MRKU,GAZP,ELFV,MRKY,IRAO,MRKC,VTBR,LKOH,TTLK,GMKN,MRKS,MRKZ,RTKMP,SBER,MGNT,NMTP,SNGS,NVTK,RASP,MAGN,UNAC,MTSS,RBCM,SNGSP,SIBN,RTKM,CHMF,FEES,MOEX",40
2014-03-31,2014-Q1,"TGKA,TGKN,TGKB,UPRO,MSRS,MRKP,TGKBP,OGKB,ROSN,ELFV,MSNG,MRKV,GAZP,MRKC,MRKY,IRAO,MRKU,TTLK,LKOH,GMKN,MGNT,VTBR,UNAC,SBER,MRKZ,SNGSP,NVTK,MTSS,RASP,SNGS,MAGN,DVEC,TRNFP,CHMF,MRKS,TATN,AFLT,PIKK,SIBN,FEES",40
2014-06-30,2014-Q2,"TGKA,TGKB,UPRO,TGKN,MRKP,OGKB,TGKBP,ROSN,MRKZ,MSNG,GAZP,MRKV,MRKY,TTLK,VTBR,MRKS,ELFV,MRKU,LKOH,MRKC,MSRS,IRAO,GMKN,MGNT,SBER,DVEC,NVTK,MTSS,MAGN,SNGS,SNGSP,RTKMP,CHMF,FEES,HYDR,TRNFP,UNAC,TATN,RASP,ALRS",40
2014-09-30,2014-Q3,"TGKA,TGKB,TGKN,UPRO,MRKP,TGKBP,OGKB,MRKC,MSNG,MRKV,ROSN,MRKZ,GAZP,MRKY,MRKU,ELFV,LKOH,MSRS,MRKS,GMKN,VTBR,MGNT,IRAO,UNAC,SBER,MTSS,MAGN,SNGSP,PIKK,NVTK,TTLK,CHMF,SNGS,MOEX,RTKMP,TATN,DVEC,AFKS,MVID,RASP",40
2014-12-31,2014-Q4,"TGKB,TGKA,TGKN,TGKBP,MSRS,UPRO,MRKV,OGKB,ROSN,MSNG,MRKP,ELFV,GAZP,MRKZ,MRKC,MRKY,MRKU,LKOH,VTBR,MAGN,GMKN,MGNT,SNGSP,TTLK,MTSS,UNAC,SBER,CHMF,SNGS,IRAO,NVTK,PIKK,DVEC,MRKS,MVID,TRNFP,RASP,TATN,MOEX,NKNCP",40
2015-03-31,2015-Q1,"TGKA,TGKB,TGKN,TGKBP,UPRO,OGKB,MSNG,ROSN,MRKP,MRKV,MRKU,GAZP,MRKY,MRKZ,ELFV,PIKK,LKOH,MRKC,MAGN,ROLO,GMKN,UNAC,SNGSP,MGNT,VTBR,RASP,SNGS,SBER,IRAO,TTLK,MTSS,TATN,CHMF,NVTK,TRMK,ALRS,SIBN,MRKS,DVEC,MTLRP",40
2015-06-30,2015-Q2,"TGKA,TGKB,OGKB,UPRO,MSNG,TGKN,TGKBP,MRKP,ROSN,UNAC,MRKV,MRKU,ELFV,MRKC,GAZP,MAGN,MRKZ,VTBR,LKOH,MRKY,GMKN,TTLK,SNGSP,MGNT,IRAO,NMTP,MSRS,SBER,SNGS,CHMF,NVTK,SIBN,MTSS,NKNCP,MRKS,MOEX,TATN,RASP,MVID,ALRS",40
2015-09-30,2015-Q3,"TGKB,TGKA,TGKN,MSNG,TGKBP,UPRO,MRKV,ROSN,OGKB,MRKP,MAGN,NMTP,GAZP,MRKZ,ELFV,UNAC,MRKC,LKOH,GMKN,MRKU,MRKY,TTLK,MGNT,SNGSP,MSRS,VTBR,SBER,SNGS,NKNCP,MRKS,NVTK,CHMF,SIBN,ALRS,TATN,MTSS,RASP,IRAO,MOEX,MVID",40
2015-12-31,2015-Q4,"TGKB,TGKA,TGKN,UPRO,MSNG,TGKBP,MRKV,OGKB,MRKP,ROSN,MRKU,UNAC,GAZP,MAGN,MRKY,MRKC,LKOH,GMKN,MRKZ,ELFV,MSRS,MGNT,VTBR,SBER,SNGSP,TTLK,IRAO,MTSS,SNGS,CHMF,NVTK,MOEX,TATN,MRKS,ROLO,ALRS,SELG,SIBN,NKHP,AFLT",40
2016-03-31,2016-Q1,"TGKB,TGKA,UPRO,TGKN,MSNG,TGKBP,MRKP,MRKV,OGKB,ROSN,UNAC,MRKZ,MRKC,GAZP,MAGN,MRKY,ELFV,LKOH,MRKU,GMKN,MRKS,ROLO,TTLK,MGNT,IRAO,VTBR,NKNCP,MSRS,SNGSP,SBER,MOEX,SFIN,NVTK,SNGS,SELG,RBCM,ALRS,CHMF,TATN,MTSS",40
2016-06-30,2016-Q2,"TGKB,TGKA,TGKN,TGKBP,MSNG,MRKP,UPRO,MRKU,MRKV,OGKB,ROSN,MRKZ,MSRS,PRFN,UNAC,GAZP,MAGN,MRKC,MRKY,TTLK,MRKS,ELFV,LKOH,IRAO,GMKN,MGNT,SNGSP,ROLO,VTBR,NKNCP,SBER,NMTP,MOEX,SNGS,MTSS,NVTK,RASP,CHMF,TATN,ALRS",40
2016-09-30,2016-Q3,"TGKN,TGKA,TGKB,TGKBP,UPRO,MRKP,MRKV,OGKB,MSNG,PRFN,MRKC,MSRS,MRKU,ROSN,MRKZ,ELFV,ROLO,MRKY,MAGN,GAZP,UNAC,IRAO,MRKS,NMTP,RASP,TTLK,LKOH,SNGSP,GMKN,MGNT,DVEC,ALRS,VTBR,LSNG,SBER,NKNCP,MOEX,PIKK,MVID,MTSS",40
2016-12-31,2016-Q4,"TGKA,TGKB,TGKN,TGKBP,MSNG,MRKP,OGKB,UPRO,PRFN,MRKZ,MRKV,MSRS,ELFV,MRKC,MRKY,ROSN,IRAO,MRKU,UNAC,MRKS,PIKK,GAZP,RASP,MAGN,ROLO,NMTP,LKOH,TTLK,GMKN,MGNT,ALRS,DVEC,VTBR,MOEX,SNGSP,FESH,BANE,SBER,MTLRP,SNGS",40
2017-03-31,2017-Q1,"TGKA,TGKB,TGKN,TGKBP,UPRO,PRFN,MRKP,OGKB,MSNG,MRKV,ELFV,ROSN,UNAC,MRKU,MSRS,ROLO,IRAO,MRKC,MRKZ,MRKY,MAGN,GAZP,RASP,MRKS,TTLK,LKOH,MVID,GMKN,NMTP,MGNT,ALRS,MOEX,FEES,HYDR,VTBR,SNGSP,SBER,TRMK,NKNCP,AFLT",40
2017-06-30,2017-Q2,"TGKN,TGKA,TGKB,MRKP,TGKBP,UPRO,MSNG,MRKV,OGKB,PRFN,ROSN,ELFV,MRKU,UNAC,MRKY,MRKC,GAZP,MSRS,MRKZ,IRAO,NMTP,MAGN,ROLO,MRKS,LKOH,RASP,TRNFP,TTLK,ALRS,GMKN,MVID,PIKK,MOEX,MGNT,FEES,SBER,RBCM,NLMK,SFIN,SNGSP",40
2017-09-30,2017-Q3,"TGKB,TGKA,TGKBP,TGKN,MRKP,MRKV,MSNG,UPRO,MRKU,OGKB,PRFN,MRKZ,ELFV,MRKS,ROSN,UNAC,MRKC,MRKY,MAGN,NMTP,MSRS,MVID,GAZP,IRAO,SFIN,RASP,GMKN,LKOH,TTLK,ALRS,ROLO,AFLT,MGNT,MTLRP,SBER,MOEX,VTBR,IRKT,CHMF,NVTK",40
2017-12-31,2017-Q4,"TGKB,TGKA,TGKN,TGKBP,MRKP,MRKV,MRKU,OGKB,UPRO,MSNG,ELFV,PRFN,MRKY,MRKZ,ROSN,MRKC,MAGN,MRKS,NMTP,MSRS,UNAC,ROLO,GAZP,GMKN,MGNT,IRAO,RASP,LKOH,MVID,PIKK,MOEX,TTLK,AFLT,ALRS,SBER,VTBR,DVEC,MTLRP,CHMF,FESH",40
2018-03-31,2018-Q1,"TGKA,TGKB,TGKBP,TGKN,MRKP,MRKV,UPRO,OGKB,MRKU,PRFN,MSNG,ELFV,ROSN,MRKY,MRKC,MRKS,GAZP,MRKZ,MAGN,MGNT,LKOH,GMKN,UNAC,IRAO,MSRS,RASP,ROLO,VTBR,SBER,DVEC,ALRS,MOEX,AFLT,TATN,TTLK,MVID,NMTP,SNGSP,NLMK,SIBN",40
2018-06-30,2018-Q2,"GAZP,LKOH,ROSN,GMKN,SBER,VTBR,MGNT,MOEX,X5,MTSS,TGKN,SNGSP,NLMK,SNGS,IRAO,MAGN,HYDR,TRNFP,PLZL,YDEX,RTKM,FEES,RASP,AFKS,PIKK,RUAL,ALRS,TATN,MTLR,BANEP,MTLRP,NVTK,PHOR,CHMF,SIBN,AFLT,SFIN,UPRO,MSNG,MVID",40
2018-09-30,2018-Q3,"GAZP,LKOH,GMKN,SBER,MGNT,ROSN,SNGSP,VTBR,MOEX,MTSS,SNGS,NLMK,IRAO,MAGN,RTKM,YDEX,FEES,X5,HYDR,TRNFP,PLZL,ALRS,AFKS,RASP,NVTK,PHOR,TATN,MTLR,BANEP,SIBN,CHMF,SFIN,RUAL,AFLT,MTLRP,UPRO,MSNG,IRKT,MVID,CBOM",40
2018-12-31,2018-Q4,"LKOH,GAZP,ROSN,GMKN,SBER,MGNT,SNGSP,VTBR,MOEX,YDEX,ALRS,MTSS,NLMK,HYDR,AFLT,MAGN,SNGS,IRAO,PLZL,TRNFP,SIBN,FEES,X5,RTKM,RASP,RGSS,PHOR,AFKS,TATN,NVTK,MTLR,MVID,CHMF,BANEP,SFIN,RUAL,SBERP,PIKK,UPRO,MSNG",40
2019-03-31,2019-Q1,"LKOH,GAZP,GMKN,ROSN,MGNT,SBER,ALRS,MOEX,VTBR,SNGSP,MTSS,NLMK,AFLT,YDEX,MAGN,SNGS,RUAL,PLZL,IRAO,HYDR,TRNFP,X5,AFKS,FEES,RASP,SIBN,RTKM,TATN,MTLR,SBERP,PHOR,CHMF,NVTK,MVID,UPRO,TRMK,BANEP,SFIN,MRKP,CBOM",40
2019-06-30,2019-Q2,"GAZP,LKOH,GMKN,ROSN,SBER,MGNT,ALRS,VTBR,MOEX,SNGSP,IRAO,NLMK,PLZL,MTSS,YDEX,AFLT,SNGS,MAGN,HYDR,FEES,TRNFP,SIBN,MVID,X5,RUAL,RTKM,BANEP,SBERP,TATN,AFKS,NVTK,PHOR,CHMF,LSRG,RASP,UPRO,MTLR,MTLRP,OGKB,MRKP",40
2019-09-30,2019-Q3,"GAZP,LKOH,GMKN,SNGSP,SNGS,ROSN,VTBR,ALRS,SBER,MGNT,PLZL,NLMK,IRAO,YDEX,MOEX,TATN,MTSS,AFLT,MAGN,CHMF,HYDR,NVTK,AFKS,SIBN,X5,FEES,TATNP,RUAL,UWGN,TRNFP,MVID,RTKM,PHOR,OGKB,UPRO,SBERP,MTLR,RASP,BANEP,MTLRP",40
